تحديد النص
r,إستبدل حرف واحد
R,إستبدل أكثر من حرف
J,ضم السطر التالي الي السطر الحالي
gJ,ضم السطر التالي الي السطر الحالي بدون مساحه بينهما
gwip,اعاده ترتيب الفقره
g~,إجعل الحرف كبير (uppercase)
gu,إجعل الحروف صغير (lowercase)
gU,إجعل الحروف كبيره (uppercase)
cc,حرر سطر كامل
c$ or C,حرر من المؤشر الي اخر السطر
ciw,حرر كلمه كامله
cw or ce,حرر من اخر الكلمه
s,إحذف حرف
S,إحذف سطر كامل
xp,استبدل مكان  حرفين ببعضيهما
u,إلغي
U,إلغي كل العمليات علي سطر
Ctrl + r,أعد العمليه مره اخري
.,أعد اخر امر
v,إبدا وضع التحديد 
V,إبدا وضع التحديد 
o,حرك المؤشر للجهه الثانيه من الكلام المحدد
Ctrl + v,إبدا وضغ التحديد 
O,حرك المؤشر الي الجهه الثانيه من الكلام المحدد
aw,حدد كلمه
ab,() حدد الكلام المحدود ب
aB,{} حدد الكلام المحدود ب
at,<> حدد الكلام المحدود ب
ib,() حدد الكلام بداخل
iB,{} حدد الكلام بداخل
it,<> حدد الكلام بداخل
Esc or Ctrl + c,أخرج من وضع تحديد النص
