البحث والاستبدال
:w,حفظ الملف بدون الخروج
:w !sudo tee %,حفظ الملف الحالي باستخدام حساب المستخدم الرئيسي
:wq or :x or ZZ,حفظ وخروج من الملف
:q,الخروج (يفشل في حالة عدم وجود اي تغير)
:q! or ZQ,الخروج مع عدم حفظ اي تغير
:wqa,خفظ والخروج من كل الملفات الحاليه
/pattern,البحث عن للامام عن نمط
?pattern,البحث للخلف عن نمط
\vpattern,'very magic' البحث عن أنماط بدون الحاجه الي اخذ الحوف الخاصه في الاعتبار
n,كرر البحث في نفس الاتجاه
N,كرر البحث في عكس الاتجاه
:%s/old/new/g,استبدل كلام قديم باخر جديد في جميع انحاء الملف
:%s/old/new/gc,استبدل كلام جديد باخر جديد في جميع انحاء الملف مع التاكيدات
:noh[lsearch],إزالة التظليل
