To jump to a mark you can either use a backtick (`) or an apostrophe ('). Using an apostrophe jumps to the beginning (first non-blank) of the line holding the mark.
:marks,إعرض قائمة العلامات
ma,A عين علامة جديدة عن المؤشر الحالي
`a,A اقفز الي العلامه
y`a,A انسخ من المؤشر الحالي الي العلامه
`0,اذهب الي اخر مكان تم الخروج منه
"`""",اذهب الي المكان الذي تم فيه تعديل الملف
`.,اذهب الي المكان الذي تم فيه تغير الملف
``,اذهب الي المكان الذي كان قبل اخر قفزه
:ju[mps],اعرض قائمة القفزات
Ctrl + i,اذهب الي مكان جديد في قائمة القفزات
Ctrl + o,اذهب الي مكان قديم في قائمة القفزات
:changes,اعرض كل التغيرات
"g,",اذهب الي مكان جديد في قائمة التغيرات
g;,اذهب الي مكان قديم في قائمة التغيرات
Ctrl + ],اقفز إلى العلامة تحت المؤشر
