الخروج
>>,أضف مساحه بادئة (حرك لليمن) للسطر الحاليي
<<,إحذف مساحه بادئة (حرك لليسار) من السطر الحالي
>%,أضف مساحه بادئة لبلوك بين () او {}  مع وضع المؤشر في الأول
<%,de
>ib,() أضف مساحه بادئة لبلوك محدوده ب
>at,<> أضف مساحه بادئة لبلوك محدوده ب
3==,أعد إضافة مساحه بادئة لثلاثة سطرور
=%,أعد إضافة مساحه بادئة لبلوك محدوده ب () او {} مع وضع المؤشر في الأول
=iB,{} أعد إضافة مساحه بادئة للكلام المحدود ب
gg=G,أعد إضافة مساحه بادئة للملف بالكامل
]p,إلصق وأضف مساحه بادئة للسطر الحالي
:w,حفظ الملف بدون الخروج
:w !sudo tee %,حفظ الملف الحالي باستخدام حساب المستخدم الرئيسي
:wq or :x or ZZ,حفظ وخروج من الملف
:q,الخروج (يفشل في حالة عدم وجود اي تغير)
:q! or ZQ,الخروج مع عدم حفظ اي تغير
:wqa,خفظ والخروج من كل الملفات الحاليه
