"Prefix a cursor movement command with a number to repeat it. For example, 4j moves down 4 lines."
h,تحريك المؤشر لليسار
j,تحريك المؤشر للأسفل
k,تحريك المؤشر للأعلى
l,تحريك المؤشر لليمين
gj,تحريك المؤشر لأسفل (أكثر من سطر)
gk,تحريك المؤشر للأعلى (أكثر من سطر)
H,تحريك لأعلى الشاشة
M,تحريك لوسط الشاشة
L,تحريك لأسفل الشاشة
w,اقفز للأمام إلى بداية كلمة
W,اقفز للأمام إلى بداية كلمة (يمكن للكلمات أن تشمل علامات الترقيم)
e,اقفز للأمام إلى نهاية الكلمة
E,اقفز للأمام إلى نهاية كلمة (يمكن للكلمات أن تشمل علامات الترقيم)
b,اقفز للوراء إلى بداية الكلمة
B,اقفز للوراء إلى بداية الكلمة (يمكن للكلمات أن تشمل علامات الترقيم)
ge,اقفز للوراء إلى نهاية الكلمة
gE,اقفز للوراء إلى نهاية الكلمة (يمكن للكلمات أن تشمل علامات الترقيم)
%,"تحريك للخانة المطابقة (الأزواج الافتراضية المدعومة: '()', '{}', '[]' "
0,اقفز إلى بداية السطر
^,اقفز إلى الخانة الأولى غير الفارغة في السطر
$,اقفز إلى نهاية السطر
g_,اقفز إلى الخانة الآخيرة غير الفارغة في السطر
gg,اذهب إلى السطر الأول في الملف
G,اذهب إلى السطر الآخير في الملف
5gg or 5G,اذهب إلى السطر الخامس
gd,move to local declaration
gD,move to global declaration
fx,اقفز إلى الخانة بعد الحدوث التالي لحرف اكس
tx,اقفز إلى الخانة قبل الحدوث التالي لحرف اكس
Fx,اقفز الى الخانة بغد الحدوث السابق لحرف اكس
Tx,اقفز الى الخانة قبل الحدوث السابق لحرف اكس
;,"f, F, t or T اعاده الحركه للامام بواسطه"
",","f, F, t or T اعاده الحركه للخلف بواسطه"
},(اقفز إلى القترة التالية (كود او الدالة
{,اقفز الي الفقره السابقه (كود او الداله)
zz,ضع المؤشر في منتصف الشاشة
zt,position cursor on top of the screen
zb,position cursor on bottom of the screen
Ctrl + e,حرك الشاشة سطر واحد لاسفل (بدون تحريك المؤشر)
Ctrl + y,حرك الشاشة سطر واحد للاعلي (بدون تحريك المؤشر)
Ctrl + b,تحرك شاشة كاملة للخلف
Ctrl + f,تحرك شاشة كاملة للأمام
Ctrl + d,تحرك نصف شاشه للامام
Ctrl + u,تحرك نصف شاشه للخلف
