i,أضف قبل المؤشر
I,أضف من أول السطر
a,أضف بعد المؤشر
A,أضف الي نهاية السطر
o,اضف سطر جديد أسفل السطر الحالي
O,اضف سطر جديد اعلي السطر الحالي
ea,أضف الي نهاية الكلمه
Ctrl + h,إحذف الحرف ما قبل المؤشر اثناء وضع الإضافة
Ctrl + w,إحذف الكلمه ماقبل المؤشر اثناء وضع الإضافة
Ctrl + j,أضف سطر جديد اثناء وضع الإضافة
Ctrl + t,أضف الي السطر الأول مساحه بادئة اثناء وضع الإضافة
Ctrl + d,إحذف من السطر الأول مساحه بادئة اثناء وضع الإضافة
Ctrl + n,insert (auto
Ctrl + p,insert (auto
Ctrl + rx,insert the contents of register x
Ctrl + ox,Temporarily enter normal mode to issue one normal
Esc or Ctrl + c,أخرج من وضع الإضافة
