প্রস্থান (Exiting)
>>,ইন্ডেন্ট (ডানে সরান) লাইন এক শিফটউইথ
<<,ডি
>%,() বা {} (বন্ধনীতে কার্সার)  দিয়ে একটি ব্লক ইন্ডেন্ট করুন
<%,de
>ib,() সহ ভিতরের ব্লক ইন্ডেন্ট
>at,<> ট্যাগ সহ একটি ব্লক ইন্ডেন্ট করুন
3==,3 লাইন পুনরায় ইন্ডেন্ট করুন
=%,() বা {} (বন্ধনীতে কার্সার) দিয়ে একটি ব্লক পুনরায় ইন্ডেন্ট করুন
=iB,{} দিয়ে ভিতরের ব্লক পুনরায় ইন্ডেন্ট করুন
gg=G,সম্পূর্ণ বাফার পুনরায় ইন্ডেন্ট
]p,পেস্ট করুন এবং বর্তমান লাইনে ইন্ডেন্ট সামঞ্জস্য(adjust) করুন
:w,"ফাইলটি লিখুন (সংরক্ষণ করুন), কিন্তু প্রস্থান করবেন না"
:w !sudo tee %,sudo ব্যবহার করে বর্তমান ফাইল লিখুন
:wq or :x or ZZ,লিখুন (সংরক্ষণ করুন) এবং প্রস্থান করুন
:q,প্রস্থান করুন (অসংরক্ষিত পরিবর্তন থাকলে ব্যর্থ হয়)
:q! or ZQ,প্রস্থান করুন এবং অসংরক্ষিত পরিবর্তনগুলি ফেলে দিন(unsave)
:wqa,লিখুন (সংরক্ষণ করুন) এবং সমস্ত ট্যাবে প্রস্থান করুন
