:e[dit] file,একটি নতুন বাফারে একটি ফাইল সম্পাদনা করুন
:bn[ext],পরবর্তী বাফারে যান
:bp[revious],আগের বাফারে যান
:bd[elete],একটি বাফার মুছুন (একটি ফাইল বন্ধ করুন)
:b[uffer]#,সূচক(index) # দ্বারা একটি বাফারে যান
:b[uffer] file,ফাইল দ্বারা একটি বাফার যান
:ls or :buffers,সব খোলা বাফারের তালিকা
:sp[lit] file,একটি নতুন বাফার এবং বিভক্ত উইন্ডোতে একটি ফাইল খুলুন
:vs[plit] file,একটি নতুন বাফার এবং উল্লম্বভাবে বিভক্ত উইন্ডোতে একটি ফাইল খুলুন
:vert[ical] ba[ll],উল্লম্ব উইন্ডো (vertical windows) হিসাবে সমস্ত বাফার সম্পাদনা করুন
:tab ba[ll],ট্যাব হিসাবে সমস্ত বাফার সম্পাদনা করুন
Ctrl + ws,বিভক্ত উইন্ডো
Ctrl + wv,উল্লম্বভাবে (vertically) উইন্ডো বিভক্ত করুন
Ctrl + ww,উইন্ডো সুইচ করুন
Ctrl + wq,একটি উইন্ডো বন্ধ করুন
Ctrl + wx,পরেরটির সাথে বর্তমান উইন্ডো বিনিময় করুন
Ctrl + w=,make all windows equal height & width
Ctrl + wh,বাম উইন্ডোতে কার্সার সরান (vertical split)
Ctrl + wl,ডান উইন্ডোতে কার্সার সরান (vertical split)
Ctrl + wj,নীচের উইন্ডোতে কার্সার সরান (অনুভূমিক/ horizontal split)
Ctrl + wk,উপরের উইন্ডোতে কার্সার সরান (অনুভূমিক/horizontal split)
Ctrl + wH,বর্তমান উইন্ডোকে পূর্ণ উচ্চতা বাম দিকে করুন (সর্ববামে উল্লম্ব/vertical উইন্ডো)
Ctrl + wL,বর্তমান উইন্ডোটিকে ডানদিকে পূর্ণ উচ্চতা করুন (ডানদিকে উল্লম্ব/vertical উইন্ডো)
Ctrl + wJ,খুব নীচে বর্তমান উইন্ডোটি সম্পূর্ণ প্রস্থ করুন (নিচের অনুভূমিক/horizontal উইন্ডো)
Ctrl + wK,বর্তমান উইন্ডোটিকে একেবারে শীর্ষে পূর্ণ প্রস্থ করুন (সর্বোচ্চ অনুভূমিক/horizontal উইন্ডো)
