একটি চিহ্নে লাফানোর জন্য আপনি হয় একটি ব্যাকটিক (`) বা একটি অ্যাপোস্ট্রফি  (') ব্যবহার করতে পারেন। একটি অ্যাপোস্ট্রফি ব্যবহার করে চিহ্নটি ধরে থাকা লাইনের শুরুতে (first non-blank) চলে যায়।
:marks,চিহ্নের তালিকা
ma,A মার্কের জন্য বর্তমান অবস্থান সেট করুন
`a,মার্ক A এর অবস্থানে ঝাঁপ দাও
y`a,মার্ক A এর অবস্থানে টেক্সট ঝাঁকান
`0,সেই অবস্থানে যান যেখানে ভিম আগে প্রস্থান করা হয়েছিল
"`""",এই ফাইলটি শেষ সম্পাদনা করার সময় অবস্থানে যান
`.,এই ফাইলের সর্বশেষ পরিবর্তনের অবস্থানে যান
``,শেষ লাফের আগে অবস্থানে যান
:ju[mps],লাফের তালিকা
Ctrl + i,জাম্প তালিকায় নতুন অবস্থানে যান
Ctrl + o,জাম্প তালিকায় পুরানো অবস্থানে যান
:changes,পরিবর্তনের তালিকা
"g,",পরিবর্তন তালিকায় নতুন অবস্থানে যান
g;,পরিবর্তন তালিকায় পুরানো অবস্থানে যান
Ctrl + ],কার্সারের নীচে ট্যাগে যান
