কাটা এবং পেস্ট
qa,রেকর্ড ম্যাক্রো a
q,ম্যাক্রো রেকর্ডিং বন্ধ করুন
@a,a ম্যাক্রো চালান
@@,শেষ রান ম্যাক্রো পুনরায় চালান
yy,ইয়াঙ্ক (কপি) একটি লাইন
2yy,ইয়াঙ্ক (কপি) 2 লাইন
yw,কার্সার অবস্থান থেকে পরবর্তী শব্দের শুরু পর্যন্ত শব্দের অক্ষরগুলিকে ইয়াঙ্ক (কপি) করুন
yiw,কার্সারের নিচে শব্দ (কপি) করুন
yaw,কার্সারের নীচে শব্দ এবং এর পরে বা আগে স্থানটি (কপি) করুন
y$ or Y,লাইনের শেষে (কপি) করুন
p,কার্সারের পরে ক্লিপবোর্ডটি রাখুন (পেস্ট করুন)
P,কার্সারের আগে (পেস্ট) করুন
gp,কার্সারের পরে ক্লিপবোর্ড রাখুন (পেস্ট করুন) এবং নতুন শব্দের পরে কার্সার ছেড়ে দিন
gP,কার্সারের আগে (পেস্ট) করুন এবং নতুন শব্দের পরে কার্সার ছেড়ে দিন
dd,একটি লাইন মুছুন (cut)
2dd,২ টি লাইন মুছুন (cut)
dw,কার্সার অবস্থান থেকে পরবর্তী শব্দের শুরু পর্যন্ত শব্দের অক্ষরগুলি মুছুন (cut)
diw,কার্সারের নীচে শব্দটি মুছুন (cut)
daw,কার্সারের নিচে (cut) শব্দ এবং এর পরে বা আগে স্পেস মুছুন
":3,5d",delete lines starting from 3 to 5
