টেক্সট চিহ্নিত করা (ভিজ্যুয়াল মোড)
r,একটি একক অক্ষর প্রতিস্থাপন করুন।
R,"একাধিক অক্ষর প্রতিস্থাপন করুন, যতক্ষন না ESC চাপা হচ্ছে."
J,মাঝখানে একটি স্পেস দিয়ে বর্তমানের নিচের লাইনে জোড়া দিন
gJ,মাঝখানে স্পেস ছাড়াই বর্তমানের নিচের লাইনে জোড়া দিন
gwip,রিফ্লো অনুচ্ছেদ
g~,কেস আপ মোশনে স্যুইচ করুন
gu,আপ টু মোশন ছোট হাতের অক্ষরে পরিবর্তন করুন
gU,আপ টু মোশন বড় হাতের অক্ষরে পরিবর্তন করুন
cc,সম্পূর্ণ লাইন পরিবর্তন (প্রতিস্থাপন)
c$ or C,লাইনের শেষে পরিবর্তন করুন (প্রতিস্থাপন করুন)
ciw,সম্পূর্ণ শব্দ পরিবর্তন (প্রতিস্থাপন)
cw or ce,শব্দের শেষে পরিবর্তন (প্রতিস্থাপন) করুন
s,অক্ষর মুছুন এবং পাঠ্য(substitute) প্রতিস্থাপন করুন
S,লাইন মুছুন এবং টেক্সট প্রতিস্থাপন করুন (cc এর মতো)
xp,দুটি অক্ষর স্থানান্তর করুন (ডিলিট এবং পেস্ট করুন)
u,পূর্বাবস্থা (undo)
U,শেষ পরিবর্তিত লাইন পুনরুদ্ধার (undo)
Ctrl + r,পুনরায় করুন (redo)
.,শেষ কমান্ড পুনরাবৃত্তি করুন
v,"ভিজ্যুয়াল মোড শুরু করুন, লাইন চিহ্নিত করুন, তারপর একটি কমান্ড করুন (যেমন y"
V,লাইনওয়াইজ ভিজ্যুয়াল মোড শুরু করুন
o,চিহ্নিত এলাকার অন্য প্রান্তে যান
Ctrl + v,ভিজ্যুয়াল ব্লক মোড শুরু করুন
O,ব্লকের অন্য কোণে যান
aw,একটি শব্দ চিহ্নিত করুন
ab,() সহ একটি ব্লক
aB,{} সহ একটি ব্লক
at,<> ট্যাগ সহ একটি ব্লক
ib,ভিতরের ব্লক () সহ
iB,{} সহ ভিতরের ব্লক
it,<> ট্যাগ সহ ভিতরের ব্লক
Esc or Ctrl + c,ভিজ্যুয়াল মোড থেকে প্রস্থান করুন
